,Species,Total,port,Year
4545,"Rockfish, yelloweye",37,Eureka,2019
4546,"Rockfish, yellowtail","24,995",Eureka,2019
4547,Sablefish,"775,431",Eureka,2019
4548,"Salmon, Chinook","57,621",Eureka,2019
4549,Sanddab,10,Eureka,2019
4550,"Sanddab, Pacific","23,451",Eureka,2019
4551,"Seaperch, striped",409,Eureka,2019
4552,"Shad, American",88,Eureka,2019
4553,"Shark, spiny dogfish",290,Eureka,2019
4554,"Shark, unspecified",441,Eureka,2019
4555,"Skate, big","57,948",Eureka,2019
4556,"Skate, longnose","231,835",Eureka,2019
4557,"Skate, unspecified",89,Eureka,2019
4558,"Smelt, night","316,529",Eureka,2019
4559,"Smelt, surf",645,Eureka,2019
4560,"Sole, curlfin",36,Eureka,2019
4561,"Sole, Dover","2,702,752",Eureka,2019
4562,"Sole, English","75,901",Eureka,2019
4563,"Sole, petrale","741,256",Eureka,2019
4564,"Sole, rex","109,285",Eureka,2019
4565,"Sole, rock",24,Eureka,2019
4566,"Sole, sand",3,Eureka,2019
4567,"Sole, unspecified",29,Eureka,2019
4568,"Surfperch, calico",529,Eureka,2019
4569,"Surfperch, redtail","4,905",Eureka,2019
4570,"Surfperch, walleye",119,Eureka,2019
4571,"Thornyhead, longspine","259,987",Eureka,2019
4572,"Tuna, albacore","336,606",Eureka,2019
4573,"Whiting, Pacific",202,Eureka,2019
4574,Cabezon,"2,740",Eureka,2018
4575,"Fish, unspecified","4,532",Eureka,2018
4576,"Flounder, arrowtooth","52,131",Eureka,2018
4577,"Flounder, starry",341,Eureka,2018
4578,"Greenling, kelp",853,Eureka,2018
4579,Grenadier,"4,599",Eureka,2018
4580,"Hagfish, Pacific","85,343",Eureka,2018
4581,"Hagfish, unspecified","559,724",Eureka,2018
4582,"Halibut, California","9,498",Eureka,2018
4583,"Halibut, Pacific","2,808",Eureka,2018
4584,Jacksmelt,176,Eureka,2018
4585,Lingcod,"349,817",Eureka,2018
4586,"Mackerel, jack",4,Eureka,2018
4587,"Mackerel, Pacific",41,Eureka,2018
4588,"Mackerel, unspecified",20,Eureka,2018
4589,"Rockfish, aurora",128,Eureka,2018
4590,"Rockfish, black","95,281",Eureka,2018
4591,"Rockfish, black-and-yellow",53,Eureka,2018
4592,"Rockfish, blackgill",213,Eureka,2018
4593,"Rockfish, blue","8,230",Eureka,2018
4594,"Rockfish, bocaccio","4,769",Eureka,2018
4595,"Rockfish, brown",152,Eureka,2018
4596,"Rockfish, canary","304,648",Eureka,2018
4597,"Rockfish, chilipepper","11,320",Eureka,2018
4598,"Rockfish, China",284,Eureka,2018
4599,"Rockfish, copper","6,186",Eureka,2018
4600,"Rockfish, darkblotched","34,890",Eureka,2018
4601,"Rockfish, flag",21,Eureka,2018
4602,"Rockfish, gopher",93,Eureka,2018
4603,"Rockfish, grass",396,Eureka,2018
4604,"Rockfish, greenspotted",2,Eureka,2018
4605,"Rockfish, greenstriped",61,Eureka,2018
4606,"Rockfish, group nearshore",64,Eureka,2018
4607,"Rockfish, group shelf","215,301",Eureka,2018
4608,"Rockfish, group slope","25,921",Eureka,2018
4609,"Rockfish, olive",76,Eureka,2018
4610,"Rockfish, Pacific ocean",70,Eureka,2018
4611,"Rockfish, quillback","3,316",Eureka,2018
4612,"Rockfish, redbanded","1,694",Eureka,2018
4613,"Rockfish, rosy",206,Eureka,2018
4614,"Rockfish, rougheye",523,Eureka,2018
4615,"Rockfish, shortraker",120,Eureka,2018
4616,"Rockfish, starry",3,Eureka,2018
4617,"Rockfish, unspecified","28,070",Eureka,2018
4618,"Rockfish, vermilion","4,221",Eureka,2018
4619,"Rockfish, widow","518,321",Eureka,2018
4620,"Rockfish, yellowtail","24,542",Eureka,2018
4621,Sablefish,"629,979",Eureka,2018
4622,Salmon,8,Eureka,2018
4623,"Salmon, Chinook","86,934",Eureka,2018
4624,Sanddab,"4,839",Eureka,2018
4625,"Sanddab, Pacific","13,428",Eureka,2018
4626,"Seaperch, striped",148,Eureka,2018
4627,"Shark, spiny dogfish",317,Eureka,2018
4628,"Shark, thresher",152,Eureka,2018
4629,"Skate, big","48,189",Eureka,2018
4630,"Skate, longnose","213,210",Eureka,2018
4631,"Skate, unspecified","1,900",Eureka,2018
4632,"Smelt, night","280,886",Eureka,2018
4633,"Smelt, surf","2,410",Eureka,2018
4634,"Sole, curlfin",238,Eureka,2018
4635,"Sole, Dover","3,165,601",Eureka,2018
4636,"Sole, English","110,092",Eureka,2018
4637,"Sole, petrale","891,846",Eureka,2018
4638,"Sole, rex","127,191",Eureka,2018
4639,"Sole, rock",1,Eureka,2018
4640,"Sole, slender",5,Eureka,2018
4641,"Surfperch, barred",70,Eureka,2018
4642,"Surfperch, redtail","9,042",Eureka,2018
4643,"Surfperch, walleye",18,Eureka,2018
4644,"Thornyhead, longspine","216,988",Eureka,2018
4645,"Thornyhead, shortspine","201,594",Eureka,2018
4646,Thornyheads,7,Eureka,2018
4647,"Trawled fish, unspecified","4,718",Eureka,2018
4648,"Tuna, albacore","218,721",Eureka,2018
4649,"Tuna, skipjack",244,Eureka,2018
4650,"Whiting, Pacific",437,Eureka,2018
4651,"Crab, Dungeness","13,473,947",Eureka,2018
4652,"Crab, red rock",254,Eureka,2018
4653,"Crab, rock unspecified","1,229",Eureka,2018
4654,"Shrimp, coonstriped","81,557",Eureka,2018
4655,"Shrimp, ocean (pink)","4,913,354",Eureka,2018
4656,Cabezon,"1,984",Eureka,2017
4657,"Fish, unspecified",2,Eureka,2017
4658,"Flounder, arrowtooth","84,590",Eureka,2017
4659,"Flounder, starry","5,969",Eureka,2017
4660,"Greenling, kelp",597,Eureka,2017
4661,Grenadier,"2,933",Eureka,2017
4662,Hagfishes,"651,411",Eureka,2017
4663,"Halibut, California","7,103",Eureka,2017
4664,"Halibut, Pacific","4,003",Eureka,2017
4665,Jacksmelt,230,Eureka,2017
4666,Lingcod,"245,002",Eureka,2017
4667,Louvar,67,Eureka,2017
4668,"Mackerel, Pacific",4,Eureka,2017
4669,"Rockfish, China",469,Eureka,2017
4670,"Rockfish, Pacific ocean perch",186,Eureka,2017
4671,"Rockfish, black-and-yellow",14,Eureka,2017
4672,"Rockfish, black","120,039",Eureka,2017
4673,"Rockfish, blackgill",92,Eureka,2017
4674,"Rockfish, blue","8,437",Eureka,2017
4675,"Rockfish, bocaccio","37,083",Eureka,2017
4676,"Rockfish, brown",215,Eureka,2017
4677,"Rockfish, canary","165,256",Eureka,2017
4678,"Rockfish, chilipepper","17,758",Eureka,2017
4679,"Rockfish, copper","4,081",Eureka,2017
4680,"Rockfish, cowcod",4,Eureka,2017
4681,"Rockfish, darkblotched","15,474",Eureka,2017
4682,"Rockfish, gopher",7,Eureka,2017
4683,"Rockfish, grass",137,Eureka,2017
4684,"Rockfish, greenspotted",30,Eureka,2017
4685,"Rockfish, group nearshore",6,Eureka,2017
4686,"Rockfish, group shelf","57,893",Eureka,2017
4687,"Rockfish, group slope","27,250",Eureka,2017
4688,"Rockfish, group small",219,Eureka,2017
4689,"Rockfish, olive",88,Eureka,2017
4690,"Rockfish, quillback","3,340",Eureka,2017
4691,"Rockfish, redbanded",560,Eureka,2017
4692,"Rockfish, rosethorn",14,Eureka,2017
4693,"Rockfish, rosy",29,Eureka,2017
4694,"Rockfish, rougheye",458,Eureka,2017
4695,"Rockfish, shortraker",36,Eureka,2017
4696,"Rockfish, starry",9,Eureka,2017
4697,"Rockfish, unspecified",29,Eureka,2017
4698,"Rockfish, vermilion","3,416",Eureka,2017
4699,"Rockfish, widow","108,365",Eureka,2017
4700,"Rockfish, yellowtail","9,055",Eureka,2017
4701,Sablefish,"845,350",Eureka,2017
4702,"Salmon, Chinook","3,570",Eureka,2017
4703,Sanddab,"14,559",Eureka,2017
4704,"Shark, shortfin mako","5,283",Eureka,2017
4705,"Shark, spiny dogfish",8,Eureka,2017
4706,"Shark, thresher","2,505",Eureka,2017
4707,"Skate, big","48,688",Eureka,2017
4708,"Skate, longnose","278,343",Eureka,2017
4709,"Skate, unspecified","1,847",Eureka,2017
4710,"Smelt, night","287,583",Eureka,2017
4711,"Smelt, surf",598,Eureka,2017
4712,"Sole, Dover","3,113,997",Eureka,2017
4713,"Sole, English","208,972",Eureka,2017
4714,"Sole, curlfin",807,Eureka,2017
4715,"Sole, petrale","844,481",Eureka,2017
4716,"Sole, rex","165,000",Eureka,2017
4717,"Sole, rock",79,Eureka,2017
4718,"Sole, sand",13,Eureka,2017
4719,"Surfperch, redtail","10,536",Eureka,2017
4720,Swordfish,"2,702",Eureka,2017
4721,"Thornyhead, longspine","382,870",Eureka,2017
4722,"Thornyhead, shortspine","189,266",Eureka,2017
4723,"Trawled fish, unspecified","6,359",Eureka,2017
4724,"Tuna, albacore","194,104",Eureka,2017
4725,"Whiting, Pacific",520,Eureka,2017
4726,"Crab, Dungeness","3,400,054",Eureka,2017
4727,"Shrimp, coonstriped","56,131",Eureka,2017
4728,"Shrimp, ocean (pink)","3,274,975",Eureka,2017
4729,Waters Area Total:,"14,923,142",Eureka,2017
4730,"Crab, Dungeness",962,Eureka,2017
4731,Waters Area Total:,962,Eureka,2017
4732,"Tuna, albacore","21,802",Eureka,2017
4733,Waters Area Total:,"21,802",Eureka,2017
4734,Grand Total:,"14,945,906",Eureka,2017
4735,Cabezon,"1,912",Eureka,2016
4736,"Eel, California moray",411,Eureka,2016
4737,"Fish, unspecified",309,Eureka,2016
4738,"Flounder, arrowtooth","116,305",Eureka,2016
4739,"Flounder, starry",607,Eureka,2016
4740,"Greenling, kelp",681,Eureka,2016
4741,Grenadier,"37,812",Eureka,2016
4742,Hagfishes,"438,092",Eureka,2016
4743,"Halibut, California",604,Eureka,2016
4744,"Halibut, Pacific","1,135",Eureka,2016
4745,Jacksmelt,57,Eureka,2016
4746,Lingcod,"82,266",Eureka,2016
4747,"Rockfish, China",305,Eureka,2016
4748,"Rockfish, Pacific ocean perch",214,Eureka,2016
4749,"Rockfish, black-and-yellow",103,Eureka,2016
4750,"Rockfish, black","134,453",Eureka,2016
4751,"Rockfish, blackgill",515,Eureka,2016
4752,"Rockfish, blue","5,527",Eureka,2016
4753,"Rockfish, bocaccio","6,211",Eureka,2016
4754,"Rockfish, brown",284,Eureka,2016
4755,"Rockfish, canary","1,407",Eureka,2016
4756,"Rockfish, chilipepper","2,712",Eureka,2016
4757,"Rockfish, copper","1,032",Eureka,2016
4758,"Rockfish, cowcod",5,Eureka,2016
4759,"Rockfish, darkblotched","16,935",Eureka,2016
4760,"Rockfish, gopher",29,Eureka,2016
4761,"Rockfish, grass",200,Eureka,2016
4762,"Rockfish, greenstriped",22,Eureka,2016
4763,"Rockfish, group nearshore",7,Eureka,2016
4764,"Rockfish, group shelf","4,506",Eureka,2016
4765,"Rockfish, group slope","30,013",Eureka,2016
4766,"Rockfish, olive",111,Eureka,2016
4767,"Rockfish, quillback","1,235",Eureka,2016
4768,"Rockfish, redbanded",160,Eureka,2016
4769,"Rockfish, rosy",12,Eureka,2016
4770,"Rockfish, rougheye",287,Eureka,2016
4771,"Rockfish, shortraker",69,Eureka,2016
4772,"Rockfish, unspecified",15,Eureka,2016
4773,"Rockfish, vermilion","1,963",Eureka,2016
4774,"Rockfish, widow",282,Eureka,2016
4775,"Rockfish, yellowtail","2,916",Eureka,2016
4776,Sablefish,"926,941",Eureka,2016
4777,"Salmon, Chinook","11,823",Eureka,2016
4778,"Sanddab, Pacific","13,677",Eureka,2016
4779,Sanddab,"18,142",Eureka,2016
4780,"Seabass, white",54,Eureka,2016
4781,"Shark, shortfin mako",837,Eureka,2016
4782,"Shark, spiny dogfish",534,Eureka,2016
4783,"Shark, thresher","1,868",Eureka,2016
4784,"Shark, unspecified",14,Eureka,2016
4785,"Skate, big","27,035",Eureka,2016
4786,"Skate, longnose","263,991",Eureka,2016
4787,"Skate, unspecified",17,Eureka,2016
4788,"Smelt, night","274,757",Eureka,2016
4789,"Smelt, surf","5,854",Eureka,2016
4790,"Sole, Dover","3,128,034",Eureka,2016
4791,"Sole, English","122,946",Eureka,2016
4792,"Sole, petrale","667,743",Eureka,2016
4793,"Sole, rex","127,567",Eureka,2016
4794,"Sole, rock",23,Eureka,2016
4795,"Sole, sand",90,Eureka,2016
4796,"Surfperch, redtail","16,825",Eureka,2016
4797,Swordfish,"2,825",Eureka,2016
4798,"Thornyhead, longspine","477,367",Eureka,2016
4799,"Thornyhead, shortspine","237,485",Eureka,2016
4800,"Trawled fish, unspecified","24,872",Eureka,2016
4801,"Tuna, albacore","101,684",Eureka,2016
4802,"Turbot, curlfin","3,255",Eureka,2016
4803,"Whiting, Pacific","4,558",Eureka,2016
4804,"Crab, Dungeness","9,827,721",Eureka,2016
4805,"Shrimp, coonstriped","53,984",Eureka,2016
4806,"Shrimp, ocean (pink)","2,010,848",Eureka,2016
4807,"Octopus, unspecified",15,Eureka,2016
4808,Waters Area Total:,"19,245,104",Eureka,2016
4809,"Crab, Dungeness","43,033",Eureka,2016
4810,Waters Area Total:,"43,033",Eureka,2016
4811,"Tuna, albacore","51,977",Eureka,2016
4812,Waters Area Total:,"51,977",Eureka,2016
4813,Grand Total:,"19,340,114",Eureka,2016
4814,"Anchovy, northern",50,Eureka,2015
4815,Cabezon,"2,612",Eureka,2015
4816,"Cod, Pacific",496,Eureka,2015
4817,"Fish, unspecified",1,Eureka,2015
4818,"Flounder, arrowtooth","179,185",Eureka,2015
4819,"Flounder, starry","2,053",Eureka,2015
4820,"Greenling, kelp","1,245",Eureka,2015
4821,Grenadier,"14,319",Eureka,2015
4822,Hagfishes,"603,848",Eureka,2015
4823,"Halibut, Pacific",138,Eureka,2015
4824,Jacksmelt,62,Eureka,2015
4825,Lingcod,"82,893",Eureka,2015
4826,Louvar,109,Eureka,2015
4827,"Ratfish, spotted",33,Eureka,2015
4828,"Ray, bat",15,Eureka,2015
4829,"Rockfish, China",596,Eureka,2015
4830,"Rockfish, Pacific ocean perch",208,Eureka,2015
4831,"Rockfish, black-and-yellow",32,Eureka,2015
4832,"Rockfish, black","217,041",Eureka,2015
4833,"Rockfish, blackgill",117,Eureka,2015
4834,"Rockfish, blue","6,333",Eureka,2015
4835,"Rockfish, bocaccio",635,Eureka,2015
4836,"Rockfish, brown",113,Eureka,2015
4837,"Rockfish, canary","9,086",Eureka,2015
4838,"Rockfish, chilipepper","3,521",Eureka,2015
4839,"Rockfish, copper","1,142",Eureka,2015
4840,"Rockfish, cowcod",75,Eureka,2015
4841,"Rockfish, darkblotched","8,189",Eureka,2015
4842,"Rockfish, gopher",14,Eureka,2015
4843,"Rockfish, grass",207,Eureka,2015
4844,"Rockfish, group shelf","6,300",Eureka,2015
4845,"Rockfish, group slope","27,554",Eureka,2015
4846,"Rockfish, group small",8,Eureka,2015
4847,"Rockfish, olive",205,Eureka,2015
4848,"Rockfish, quillback","1,987",Eureka,2015
4849,"Rockfish, redbanded",5,Eureka,2015
4850,"Rockfish, rosethorn",1,Eureka,2015
4851,"Rockfish, rougheye",200,Eureka,2015
4852,"Rockfish, shortraker",176,Eureka,2015
4853,"Rockfish, unspecified",4,Eureka,2015
4854,"Rockfish, vermilion","2,927",Eureka,2015
4855,"Rockfish, widow",608,Eureka,2015
4856,"Rockfish, yellowtail","9,470",Eureka,2015
4857,Sablefish,"821,591",Eureka,2015
4858,"Salmon, Chinook","68,716",Eureka,2015
4859,"Sanddab, Pacific","2,520",Eureka,2015
4860,Sanddab,"32,802",Eureka,2015
4861,"Seaperch, striped",323,Eureka,2015
4862,"Shark, brown smoothhound",11,Eureka,2015
4863,"Shark, leopard",24,Eureka,2015
4864,"Shark, shortfin mako",339,Eureka,2015
4865,"Shark, spiny dogfish",333,Eureka,2015
4866,"Shark, thresher","2,121",Eureka,2015
4867,"Skate, California",4,Eureka,2015
4868,"Skate, big","53,103",Eureka,2015
4869,"Skate, longnose","238,721",Eureka,2015
4870,"Skate, unspecified","14,734",Eureka,2015
4871,"Smelt, night","387,365",Eureka,2015
4872,"Smelt, surf","104,018",Eureka,2015
4873,"Sole, Dover","2,782,563",Eureka,2015
4874,"Sole, English","96,870",Eureka,2015
4875,"Sole, petrale","599,009",Eureka,2015
4876,"Sole, rex","76,938",Eureka,2015
4877,"Sole, rock",9,Eureka,2015
4878,"Sole, sand",528,Eureka,2015
4879,"Surfperch, pile",4,Eureka,2015
4880,"Surfperch, redtail","8,779",Eureka,2015
4881,"Surfperch, walleye",19,Eureka,2015
4882,Swordfish,"2,970",Eureka,2015
4883,"Thornyhead, longspine","509,728",Eureka,2015
4884,"Thornyhead, shortspine","273,512",Eureka,2015
4885,"Trawled fish, unspecified","8,076",Eureka,2015
4886,"Tuna, albacore","31,424",Eureka,2015
4887,"Tuna, bluefin",611,Eureka,2015
4888,"Turbot, curlfin","3,842",Eureka,2015
4889,"Whiting, Pacific","1,257",Eureka,2015
4890,"Crab, Dungeness","509,282",Eureka,2015
4891,"Shrimp, coonstriped","37,176",Eureka,2015
4892,"Shrimp, ocean (pink)","7,646,498",Eureka,2015
4893,"Sea urchin, purple","12,435",Eureka,2015
4894,"Sea urchin, red","3,737",Eureka,2015
4895,Waters Area Total:,"15,515,802",Eureka,2015
4896,Louvar,456,Eureka,2015
4897,"Shark, shortfin mako","2,903",Eureka,2015
4898,"Shark, thresher","4,159",Eureka,2015
4899,Swordfish,"17,512",Eureka,2015
4900,"Tuna, albacore","9,660",Eureka,2015
4901,Waters Area Total:,"34,690",Eureka,2015
4902,"Tuna, albacore","18,867",Eureka,2015
4903,Waters Area Total:,"18,867",Eureka,2015
4904,Grand Total:,"15,569,359",Eureka,2015
4905,Cabezon,"2,091",Eureka,2013
4906,"Cod, Pacific",6,Eureka,2013
4907,"Flounder, arrowtooth","172,091",Eureka,2013
4908,"Flounder, starry","2,590",Eureka,2013
4909,"Greenling, kelp","1,582",Eureka,2013
4910,Grenadier,"13,505",Eureka,2013
4911,Hagfishes,"557,182",Eureka,2013
4912,"Halibut, California",60,Eureka,2013
4913,Lingcod,"40,321",Eureka,2013
4914,"Rockfish, China",484,Eureka,2013
4915,"Rockfish, Pacific ocean perch",114,Eureka,2013
4916,"Rockfish, black-and-yellow",77,Eureka,2013
4917,"Rockfish, black","66,348",Eureka,2013
4918,"Rockfish, blackgill",215,Eureka,2013
4919,"Rockfish, blue","6,032",Eureka,2013
4920,"Rockfish, bocaccio",76,Eureka,2013
4921,"Rockfish, brown",197,Eureka,2013
4922,"Rockfish, canary","1,313",Eureka,2013
4923,"Rockfish, chilipepper","2,308",Eureka,2013
4924,"Rockfish, copper",598,Eureka,2013
4925,"Rockfish, cowcod",1,Eureka,2013
4926,"Rockfish, darkblotched","4,926",Eureka,2013
4927,"Rockfish, gopher",61,Eureka,2013
4928,"Rockfish, grass",221,Eureka,2013
4929,"Rockfish, group shelf","1,075",Eureka,2013
4930,"Rockfish, group slope","16,350",Eureka,2013
4931,"Rockfish, olive",60,Eureka,2013
4932,"Rockfish, quillback","1,156",Eureka,2013
4933,"Rockfish, redbanded",105,Eureka,2013
4934,"Rockfish, rosy",4,Eureka,2013
4935,"Rockfish, vermilion","1,309",Eureka,2013
4936,"Rockfish, widow",184,Eureka,2013
4937,"Rockfish, yellowtail","1,789",Eureka,2013
4938,Sablefish,"652,138",Eureka,2013
4939,"Salmon, Chinook","279,130",Eureka,2013
4940,Sanddab,"59,016",Eureka,2013
4941,"Skate, big","39,327",Eureka,2013
4942,"Skate, longnose","160,344",Eureka,2013
4943,"Skate, unspecified",366,Eureka,2013
4944,"Smelt, night","311,523",Eureka,2013
4945,"Smelt, surf","57,302",Eureka,2013
4946,"Sole, Dover","2,852,302",Eureka,2013
4947,"Sole, English","37,456",Eureka,2013
4948,"Sole, petrale","499,309",Eureka,2013
4949,"Sole, rex","75,367",Eureka,2013
4950,"Sole, rock",79,Eureka,2013
4951,"Sole, sand",42,Eureka,2013
4952,"Sole, unspecified",104,Eureka,2013
4953,"Surfperch, calico",304,Eureka,2013
4954,"Surfperch, redtail","4,983",Eureka,2013
4955,"Surfperch, unspecified","1,373",Eureka,2013
4956,"Thornyhead, longspine","568,967",Eureka,2013
4957,"Thornyhead, shortspine","295,229",Eureka,2013
4958,"Trawled fish, unspecified","5,170",Eureka,2013
4959,"Tuna, albacore","209,069",Eureka,2013
4960,"Turbot, curlfin",813,Eureka,2013
4961,"Whiting, Pacific",241,Eureka,2013
4962,Yellowtail,29,Eureka,2013
4963,"Crab, Dungeness","20,062,097",Eureka,2013
4964,"Shrimp, coonstriped","81,247",Eureka,2013
4965,"Shrimp, ocean (pink)","8,501,501",Eureka,2013
4966,Waters Area Total:,"35,649,257",Eureka,2013
4967,"Tuna, albacore",734,Eureka,2013
4968,Waters Area Total:,734,Eureka,2013
4969,"Tuna, albacore","15,901",Eureka,2013
4970,Waters Area Total:,"15,901",Eureka,2013
4971,Cabezon,"3,706",Eureka,2012
4972,"Flounder, arrowtooth","151,414",Eureka,2012
4973,"Flounder, starry",7,Eureka,2012
4974,"Greenling, kelp","1,167",Eureka,2012
4975,Grenadier,"42,303",Eureka,2012
4976,Hagfishes,"819,739",Eureka,2012
4977,Lingcod,"23,120",Eureka,2012
4978,"Ray, unspecified",10,Eureka,2012
4979,"Rockfish, China","1,007",Eureka,2012
4980,"Rockfish, Pacific ocean perch",134,Eureka,2012
4981,"Rockfish, black-and-yellow",2,Eureka,2012
4982,"Rockfish, black","46,487",Eureka,2012
4983,"Rockfish, blackgill",27,Eureka,2012
4984,"Rockfish, blue","6,888",Eureka,2012
4985,"Rockfish, bocaccio",40,Eureka,2012
4986,"Rockfish, brown",638,Eureka,2012
4987,"Rockfish, canary",124,Eureka,2012
4988,"Rockfish, chilipepper",206,Eureka,2012
4989,"Rockfish, copper","2,110",Eureka,2012
4990,"Rockfish, darkblotched","5,245",Eureka,2012
4991,"Rockfish, gopher",31,Eureka,2012
4992,"Rockfish, grass",245,Eureka,2012
4993,"Rockfish, group shelf",814,Eureka,2012
4994,"Rockfish, group slope","20,312",Eureka,2012
4995,"Rockfish, olive",44,Eureka,2012
4996,"Rockfish, quillback","3,064",Eureka,2012
4997,"Rockfish, redbanded",82,Eureka,2012
4998,"Rockfish, starry",3,Eureka,2012
4999,"Rockfish, unspecified",9,Eureka,2012
5000,"Rockfish, vermilion","2,577",Eureka,2012
5001,"Rockfish, widow",29,Eureka,2012
5002,"Rockfish, yellowtail",773,Eureka,2012
5003,Sablefish,"838,414",Eureka,2012
5004,"Salmon, Chinook","104,869",Eureka,2012
5005,Sanddab,"19,488",Eureka,2012
5006,"Skate, big","7,678",Eureka,2012
5007,"Skate, longnose","233,645",Eureka,2012
5008,"Skate, unspecified",125,Eureka,2012
5009,"Smelt, night","523,644",Eureka,2012
5010,"Smelt, surf","81,606",Eureka,2012
5011,"Sole, Dover","2,364,261",Eureka,2012
5012,"Sole, English","5,153",Eureka,2012
5013,"Sole, petrale","180,713",Eureka,2012
5014,"Sole, rex","78,174",Eureka,2012
5015,"Sole, unspecified","1,699",Eureka,2012
5016,"Surfperch, redtail","1,966",Eureka,2012
5017,"Thornyhead, longspine","470,266",Eureka,2012
5018,"Thornyhead, shortspine","214,489",Eureka,2012
5019,"Trawled fish, unspecified","3,224",Eureka,2012
5020,"Tuna, albacore","60,388",Eureka,2012
5021,"Whiting, Pacific",216,Eureka,2012
5022,"Crab, Dungeness","14,295,619",Eureka,2012
5023,"Shrimp, coonstriped","72,509",Eureka,2012
5024,"Shrimp, ocean (pink)","6,152,197",Eureka,2012
5025,"Sea urchin, red",337,Eureka,2012
5026,"Octopus, unspecified",61,Eureka,2012
5027,Waters Area Total:,"26,843,098",Eureka,2012
5028,"Tuna, albacore","24,337",Eureka,2012
5029,"Crab, Dungeness","1,093",Eureka,2012
5030,Waters Area Total:,"25,430",Eureka,2012
5031,"Tuna, albacore","69,641",Eureka,2012
5032,Waters Area Total:,"69,641",Eureka,2012
5033,Cabezon,"3,899",Eureka,2010
5034,"Fish, unspecified",32,Eureka,2010
5035,"Flounder, arrowtooth","149,098",Eureka,2010
5036,"Flounder, starry","1,196",Eureka,2010
5037,"Greenling, kelp",396,Eureka,2010
5038,Grenadier,"72,560",Eureka,2010
5039,Hagfishes,"517,292",Eureka,2010
5040,"Halibut, Pacific",200,Eureka,2010
5041,Lingcod,"20,486",Eureka,2010
5042,"Rockfish, China",664,Eureka,2010
5043,"Rockfish, Pacific ocean perch",45,Eureka,2010
5044,"Rockfish, aurora",1,Eureka,2010
5045,"Rockfish, bank",12,Eureka,2010
5046,"Rockfish, black-and-yellow",51,Eureka,2010
5047,"Rockfish, black","113,785",Eureka,2010
5048,"Rockfish, blackgill",276,Eureka,2010
5049,"Rockfish, blue","4,359",Eureka,2010
5050,"Rockfish, bocaccio",69,Eureka,2010
5051,"Rockfish, brown",206,Eureka,2010
5052,"Rockfish, canary",92,Eureka,2010
5053,"Rockfish, chilipepper","47,400",Eureka,2010
5054,"Rockfish, copper",973,Eureka,2010
5055,"Rockfish, darkblotched","12,937",Eureka,2010
5056,"Rockfish, gopher",93,Eureka,2010
5057,"Rockfish, grass",59,Eureka,2010
5058,"Rockfish, group shelf",291,Eureka,2010
5059,"Rockfish, group slope","24,313",Eureka,2010
5060,"Rockfish, group small",6,Eureka,2010
5061,"Rockfish, olive",71,Eureka,2010
5062,"Rockfish, quillback","1,700",Eureka,2010
5063,"Rockfish, redbanded",350,Eureka,2010
5064,"Rockfish, rosy",3,Eureka,2010
5065,"Rockfish, shortbelly",498,Eureka,2010
5066,"Rockfish, splitnose","31,871",Eureka,2010
5067,"Rockfish, unspecified",141,Eureka,2010
5068,"Rockfish, vermilion","1,848",Eureka,2010
5069,"Rockfish, widow","19,971",Eureka,2010
5070,"Rockfish, yellowtail",313,Eureka,2010
5071,Sablefish,"1,339,403",Eureka,2010
5072,"Salmon, Chinook","18,930",Eureka,2010
5073,"Salmon, coho",7,Eureka,2010
5074,Sanddab,"5,497",Eureka,2010
5075,"Sardine, Pacific",6,Eureka,2010
5076,"Sculpin, staghorn",5,Eureka,2010
5077,"Shark, spiny dogfish",69,Eureka,2010
5078,"Skate, longnose","202,899",Eureka,2010
5079,"Skate, unspecified","5,288",Eureka,2010
5080,"Smelt, night","141,174",Eureka,2010
5081,"Smelt, surf","95,515",Eureka,2010
5082,"Sole, Dover","3,489,281",Eureka,2010
5083,"Sole, English","7,157",Eureka,2010
5084,"Sole, petrale","147,847",Eureka,2010
5085,"Sole, rex","82,156",Eureka,2010
5086,"Surfperch, redtail","7,297",Eureka,2010
5087,"Thornyhead, longspine","619,089",Eureka,2010
5088,"Thornyhead, shortspine","300,509",Eureka,2010
5089,"Tuna, albacore","882,767",Eureka,2010
5090,"Whiting, Pacific","5,351,328",Eureka,2010
5091,"Crab, Dungeness","6,588,725",Eureka,2010
5092,"Shrimp, coonstriped","89,049",Eureka,2010
5093,"Shrimp, ocean (pink)","3,904,052",Eureka,2010
5094,"Mollusk, unspecified",801,Eureka,2010
5095,Jellyfish,7,Eureka,2010
5096,Waters Area Total:,"24,306,414",Eureka,2010
5097,"Tuna, albacore","80,249",Eureka,2010
5098,"Crab, Dungeness","8,739",Eureka,2010
5099,Cabezon,"3,898",Eureka,2009
5100,"Fish, unspecified",31,Eureka,2009
5101,"Flounder, arrowtooth","99,107",Eureka,2009
5102,"Flounder, starry",768,Eureka,2009
5103,"Greenling, kelp",673,Eureka,2009
5104,Grenadier,"47,481",Eureka,2009
5105,Hagfishes,"620,347",Eureka,2009
5106,"Halibut, California",275,Eureka,2009
5107,"Halibut, Pacific",64,Eureka,2009
5108,"Lamprey, Pacific",12,Eureka,2009
5109,Lingcod,"36,776",Eureka,2009
5110,"Rockfish, China","1,432",Eureka,2009
5111,"Rockfish, Pacific ocean perch","1,708",Eureka,2009
